skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auraevent4	auraeventfunc4	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	requirespettype	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	requiresweapon	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	periodicClearAura	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	calc7	*calc7desc	calc8	*calc8desc	calc9	*calc9desc	calc10	*calc10desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	Param13	*Param13Description	Param14	*Param14Description	Param15	*Param15Description	Param16	*Param16Description	Param17	*Param17Description	Param18	*Param18Description	Param19	*Param19Description	Param20	*Param20Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Ice Bolt	39	sor	ice bolt		8													icebolt																																																																															sorceress_cast_cold											ice_cast_1				17						icebolt	icebolt											1	5		none													SC	SC	xx																				1							sorceress_cast_cold			1	25														1	1				1	1	8	3	0	1	1											min(1+(skill('Ice Bolt'.blvl)/par4), par3)	# of Missiles created	par2	Missile Activation Frame	0	# of missiles that can trigger item modifier events															2	# of Missiles created baseline	0	Missile Activation Frame	5	Maximum Projectile #	5	Base Levels for 1 Projectile							12	Damage synergy																									1								7															cold	5	2	3	7	17	44	11	2	5	9	19	46	(skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8	150	35	35	35				50	1000	0
Frozen Armor	40	sor	frozen armor		18																			frozenarmor		ln34+(skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12	damageresist	min(par9 + blvl * pa10, 25)									damagedinmelee	2																																																								sorceress_cast_cold				sorceress_frozenarmor							ice_cast_1	frozenarmor_hit																					1	0		none													SC	SC	xx																				1							sorceress_cast_cold	ice_cast_1		1	25								1						0	1				1	1	8	7	0	1	1											ln56*(100+((skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par8))/100	Freeze Length																			30	Armor % baseline	5	Armor % per level	3600	Buff Duration	300	Buff Duration per level	30	Freeze Length baseline	3	Freeze Length per level	250	Buff Duration synergy	5	Freeze Length synergy	1	Base %PDR	1	%PDR Per Hardpoint																					1								8															cold																			1		50	1000	0
Inferno	41	sor	inferno	11	8													infernoflame1	infernoflame1	infernoflame1																																																																																											15	17						infernoflame2	infernoflame2											1	7		rng													SQ	SQ	xx	6	10															1	1												6	25														1	1	1			1	1	4	10	1	1	1											max(lvl/par2, par1)	# of Missiles created	par3	Missile Activation Frame	0	# of missiles that can trigger item modifier events			par4	% Damage Synergy											1	# of Missiles created baseline	5	# of Soft Levels Per Missile	1	Missile Activation Frame	0	Damage % per level							10	Damage synergy																									1								2															fire	32	24	26	28	32	36	64	24	27	29	33	37	(skill('Warmth'.blvl)+skill('Fire Wall'.blvl))*par8								50	1000	0
Static Field	42	sor	static field		20																		34691				ln12																																																																						sorceress_cast_lightning											light_cast_1																						1	10		none													SC	SC	xx					4															1							sorceress_cast_lightning			6	25														0	1				1	1	8	9	0	1	1											par4+blvl/par5*par6	HP % Damage	par3	Minimum Damage value																	5	Radius baseline	1	Radius per level	0	Minimum Damage value	10	HP % Damage	5	Points Per Par6	3	% Increase per Threshold																													1								8															ltng																					50	1000	0
Telekinesis	43	sor	telekinesis	12	21																						par1																																																																						sorceress_cast_lightning				sorceress_telekinesis							light_cast_2																						1	10		none													SC	SC	xx														1													sorceress_telekinesis			6	25														0	1				1	1	8	7	0	1	1											par2	% chance to knockback/stun																			25	Cast Range	35	% chance to knockback/stun																																					1				5	2	109		8															ltng	1	1	1	1	1	1	2	1	1	1	1	1									50	1000	0
Frost Nova	44	sor	frost nova		22													frostnova	frostnova	frostnova																																																																													sorceress_cast_cold											ice_cast_2				25						frostnova				0	Missile Velocity Adder							1	6		none													SC	SC	SC																	1			36	10						sorceress_cast_cold			12	25					Ice Bolt									0	1				1	1	6	20	3	1	1											0	Missile Velocity Adder																																	10	Damage synergy																									1								7															cold	4	6	8	10	12	16	8	7	9	11	13	17	(skill('Ice Bolt'.blvl)+skill('Frozen Orb'.blvl))*par8	200	25	25	25				50	1000	0
Ice Blast	45	sor	ice blast		8													iceblast																																																																															sorceress_cast_cold											ice_cast_1				17						iceblast	iceblast											1	6		none													SC	SC	xx																				1							sorceress_cast_cold			6	25					Ice Bolt									1	1				1	1	7	12	1	1	1											min(1+(skill('Ice Blast'.blvl)/par4), par3)	# of Missiles created	par2	Missile Activation Frame	0	# of missiles that can trigger item modifier events															2	# of Missiles created baseline	0	Missile Activation Frame	5	Maximum Projectile #	5	Base Levels for 1 Projectile					10	Freeze Length synergy	8	Damage synergy																									1								7															cold	17	11	25	39	47	66	25	12	26	40	48	67	(skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl))*par8	75	5	5	5				50	1000	0
Blaze	46	sor	blaze		23													blaze	blaze	blaze				blaze		dm12																									velocitypercent	ln34																																													sorceress_cast_fire											fire_cast_2									blaze	firewall	firesmall	firemedium										1	3		none													SC	SC	xx																	1			1										12	25					Inferno									0	1				1	1	7	22	1	1	1																															50	Buff Duration Min	500	Buff Duration Max	2	Velocity % baseline	2	Velocity % per level							6	Damage synergy																									1								4															fire	4	3	5	7	9	21	8	3	6	8	10	22	(skill('Warmth'.blvl))*par8								50	1000	0
Fire Ball	47	sor	fire ball		8													fireball																																																																															sorceress_cast_fire											fire_cast_2				17						fireball	fireball											1	5		none													SC	SC	xx																				1							sorceress_cast_fire			12	25					Fire Bolt									1	1				1	1	7	10	1	1	1											min(1+(skill('Fire Ball'.blvl)/par4), par3)	# of Missiles created	par2	Missile Activation Frame	0	# of missiles that can trigger item modifier events															2	# of Missiles created baseline	0	Missile Activation Frame	3	Maximum Projectile #	10	Base Levels for 1 Projectile							12	Damage synergy																									1								7															fire	12	9	19	24	33	52	28	11	21	26	35	54	(skill('Fire Bolt'.blvl)+skill('Meteor'.blvl))*par8						11		50	1000	0
Nova	48	sor	nova		22													nova	nova	nova																																																																													sorceress_cast_lightning											light_cast_1				25						nova				0	Missile Velocity Adder							1	2		none													SC	SC	xx																	1			36	10						sorceress_cast_lightning			12	25					Static Field									0	1				1	1	6	20	3	1	1											0	Missile Velocity Adder																																	5	Damage synergy																									1								8															ltng	1	4	5	6	9	22	20	6	7	8	11	24	(skill('Static Field'.blvl)+skill('Thunder Storm'.blvl))*par8								50	1000	0
Lightning	49	sor	lightning												lightningbolt																																																																																		sorceress_cast_lightning											light_cast_1									lightningbolt													1	6		none													SQ	SC	xx	12			1																1							sorceress_cast_lightning			12	25					Charged Bolt									1	1				1	1	7	16	1	1	1																																													14	Damage synergy																									1								8															ltng	1	2	3	4	6	7	40	8	16	24	32	48	(skill('Charged Bolt'.blvl)+skill('Chain Lightning'.blvl))*par8								50	1000	0
Shiver Armor	50	sor	shiver armor		18																			shiverarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12	damageresist	min(par9 + blvl * pa10, 25)									attackedinmelee	3																																																								sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	shiverarmor_hit									sparkle				10	Sparkle Missile Delay	5	Sparkle Missile Radius	3	Sparkle Missile Height			1	0		none													SC	SC	xx																				1							sorceress_cast_cold	ice_cast_3		12	25					Frozen Armor			1						0	1				1	1	8	11	0	1	1																															45	Armor % baseline	6	Armor % per level	3600	Buff Duration	300	Buff Duration per level					250	Buff Duration synergy	9	Damage synergy	1	Base %PDR	1	%PDR Per Hardpoint																					1								7															cold	12	6	8	10	12	14	16	7	9	11	13	15	(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par8	100		25	50				50	1000	0
Fire Wall	51	sor	fire wall		24													firewallmaker	firewall																																																																														sorceress_cast_fire											fire_cast_2				26						firewallmaker												1	4		none													SC	SC	SC					4				1											1							sorceress_cast_fire			18	25					Blaze							15		0	1				1	1	8	22	1	1	1											par1	# of max Fire Walls (oldest is removed when the limit is hit)																			0	# of max Fire Walls (oldest is removed when the limit is hit)											1	Damage synergy	3	Damage synergy																									1								4															fire	15	9	14	21	21	31	20	9	14	21	21	31	(skill('Warmth'.blvl)*par8)+(skill('Inferno'.blvl)*par7)								50	1000	0
Enchant	52	sor	enchant		25																			enchant		ln12		firemindam	enma	firemaxdam	exma	item_tohit_percent	toht																																																																sorceress_enchant																																	1	4		none													SC	SC	xx												1	1							1			1				sorceress_enchant			18	25					Warmth	Fire Ball		1						0	1				1	1	8	25	1	1	1																															3600	Buff Duration baseline	600	Buff Duration per level	33	% Damage for Ranged Weapons									4	Damage synergy																									1	20	9						7															fire	16	3	6	10	13	18	20	5	8	12	15	20	(skill('Warmth'.blvl))*par8						1		50	1000	0
Chain Lightning	53	sor	chain lightning		26													chainlightning	chainlightning	chainlightning							par1																																																																						sorceress_cast_lightning											light_cast_1				27						chainlightning	chainlightning	chainlightning										1	2		none													SQ	SC	SC	12			1																151	96						sorceress_cast_lightning			18	25					Lightning									1	1				1	1	8	9	1	1	1											ln34/par5	# of target jump hits																			20	Radius of jump to next target			26	# of target jump hits baseline	1	# of target jump hits per level	5	Every # levels, increase target jump					8	Damage synergy																									1								8															ltng	1	2	3	4	6	7	40	6	14	20	28	40	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl))*par8								50	1000	0
Teleport	54	sor	teleport		27																																																																																												sorceress_teleport											teleport																				1		1	0		none													SC	SC	xx																				1		1	2				sorceress_teleport	teleport		18	25					Telekinesis			1						0	1				1	1	8	24	-1	1	1																																																																							1								8															ltng																					650	35000	0
Glacial Spike	55	sor	glacial spike		8													glacialspike								par9 + (lvl - 1) * par10 * (100 + skill('Blizzard'.blvl) * par7) / 100	par5 + (lvl - 1) * par6																																																																						sorceress_cast_cold											ice_cast_2				17						glacialspike	glacialspike											1	7		none													SC	SC	SC																				1							sorceress_cast_cold			18	25					Ice Blast									1	1				1	1	7	20	1	1	1											min(1+(skill('Glacial Spike'.blvl)/par4), par3)	# of Missiles created	par2	Missile Activation Frame	0	# of missiles that can trigger item modifier events															2	# of Missiles created baseline	0	Missile Activation Frame	3	Maximum Projectile #	8	Base Levels for 1 Projectile	5	Explosion Radius Baseline	0	Explosion Radius per level	1	Freeze Length synergy	10	Damage synergy	50	Freeze Length Baseline	1	Freeze Length per level																					1								7															cold	33	11	23	25	31	47	49	12	24	26	32	48	(skill('Ice Blast'.blvl)+skill('Blizzard'.blvl))*par8								50	1000	0
Meteor	56	sor	meteor		28													meteorcenter	meteorcenter	meteorcenter							ln12																																																																						sorceress_cast_fire											fire_cast_2				28						meteorcenter												1	6		none													SC	SC	xx					4				1											1							sorceress_cast_fire	fire_cast_2		24	25					Fire Ball	Fire Wall						25		0	1				1	1	7	34	1	1	1											ln12	Explosion Radius																			6	Explosion Radius baseline	0	Explosion Radius per level	30	Duration of ground fire baseline	15	Duration of ground fire per level							5	Damage synergy																									1								8															fire	80	23	39	79	81	83	100	25	41	81	83	85	(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl))*par8						5		50	1000	0
Thunder Storm	57	sor	thunder storm	13	29													thunderstorm1						thunderstorm		ln12																																																																							sorceress_thunder_cast									lightning		light_cast_2						84				thunderstorm1												1	5		none													SC	SC	xx																														24	25					Nova	Chain Lightning								0	1				1	1	8	19	0	1	1		1	(100-dm56) * par4/100 + par3																												3600	Buff Duration baseline	600	Buff Duration per level	20	Periodic Damage Rate Min	100	Periodic Damage Rate Multiplier	0	Min % reduction of periodic damage rate	100	Max % reduction of periodic damage rate	17	Radius	8	Damage synergy																									1								8															ltng	1	10	10	11	11	21	100	10	10	11	11	21	(skill('Static Field'.blvl)+skill('Nova'.blvl))*par8								50	1000	0
Energy Shield	58	sor	energy shield		23																			energyshield		ln12														absorbdamage	24																																																								sorceress_cast_lightning				sorceress_energyshield					energyshieldhit0		light_cast_2																						1	4		none													SC	SC	xx																				1										24	25					Teleport	Chain Lightning		1						0	1				1	1	8	5	0	1	1											min(edmn,par4)	Damage % Absorption	par5-skill('Telekinesis'.blvl)	Mana consumed per HP damage (in sixteenths)																	3600	Buff Duration baseline	1500	Buff Duration per level			90	Damage % Absorption Cap	35	Mana consumed per HP damage (in sixteenths)																															1								8															ltng	20	5	2	1	1	1															50	1000	0
Blizzard	59	sor	blizzard		28													blizzardcenter	blizzardcenter	blizzardcenter																																																																													sorceress_cast_cold											ice_cast_3				28						blizzardcenter												1	7		none													SC	SC	xx					4				1								1			1							sorceress_cast_cold	ice_cast_3		24	25					Glacial Spike							25		0	1				1	1	8	23	1	1	1											par1	Radius for Area of Effect	par3	Missile Spawn Rate																	7	Radius for Area of Effect			4	Missile Spawn Rate									4	Damage synergy																									1								8															cold	45	15	30	45	55	75	75	16	31	46	56	76	(skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl))*par8	100							50	1000	0
Chilling Armor	60	sor	chilling armor		18													chillingarmorbolt						chillingarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par7		skill_armor_percent	ln12	damageresist	min(par9 + blvl * pa10, 25)									hitbymissile	1																																																								sorceress_cast_cold				sorceress_shiverarmor							ice_cast_3	chillarmor_hit									chillingarmorbolt												1	5		none													SC	SC	xx																				1							sorceress_cast_cold			24	25					Shiver Armor			1						0	1				1	1	8	17	0	1	1																															60	Armor % baseline	9	Armor % per level	3600	Buff Duration	300	Buff Duration per level					250	Buff Duration synergy	10	Damage synergy	1	Base %PDR	1	%PDR Per Hardpoint																					1								7															cold	16	8	10	12	14	16	20	9	11	13	15	17	(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par8	100		25	50		1		50	1000	0
